file	line	occurrence_text	bucket	action
tests/phase-09/test_annotation_shim.sh	29	"wiki/z.md"",""message"""	1-cloud	wiki-cloud/
tests/phase-09/test_annotation_shim.sh	32	"wiki/z.md"" \"	1-cloud	wiki-cloud/
tests/phase-09/test_annotation_shim.sh	41	"wiki/f{i}.md"",""line"""	1-cloud	wiki-cloud/
tests/phase-09/test_check_privacy_wiki_ok.sh	2	wiki/** local_only I	1-cloud	wiki-cloud/
tests/phase-09/test_check_privacy_wiki_ok.sh	11	wiki/** privacy: loc	1-cloud	wiki-cloud/
tests/phase-09/test_check_privacy_wiki_ok.sh	13	"wiki/** (D-15)"""	1-cloud	wiki-cloud/
tests/phase-09/test_contributing_md.sh	25	"wiki/log\.md"" ""$C"" \"	1-cloud	wiki-cloud/
tests/phase-09/test_contributing_md.sh	26	wiki/log.md conflict	1-cloud	wiki-cloud/
tests/phase-09/test_contributing_md.sh	27	"wiki/index\.md"" ""$C"""	1-cloud	wiki-cloud/
tests/phase-09/test_contributing_md.sh	28	wiki/index.md confli	1-cloud	wiki-cloud/
tests/phase-09/test_lint_ci_mode.sh	12	"wiki/index.md"" <<'ID"	1-cloud	wiki-cloud/
tests/phase-09/test_lint_ci_mode.sh	15	"wiki/log.md"" <<'LOG'"	1-cloud	wiki-cloud/
tests/phase-09/test_lint_ci_mode.sh	21	"wiki/concepts"""	1-cloud	wiki-cloud/
tests/phase-09/test_lint_ci_mode.sh	22	wiki/concepts/broken	1-cloud	wiki-cloud/
tests/phase-09/test_lint_ci_mode.sh	40	wiki/ > /tmp/lint-ci	1-cloud	wiki-cloud/
tests/phase-09/test_lint_ci_mode.sh	47	wiki/ > /tmp/lint-no	1-cloud	wiki-cloud/
tests/phase-09/test_lint_ci_mode.sh	51	wiki/concepts/broken	1-cloud	wiki-cloud/
tests/phase-09/test_lint_ci_mode.sh	52	wiki/ > /tmp/lint-cl	1-cloud	wiki-cloud/
tests/phase-09/test_lint_contributor_check.sh	17	wiki/log.md with con	1-cloud	wiki-cloud/
tests/phase-09/test_lint_contributor_check.sh	18	wiki/decisions	1-cloud	wiki-cloud/
tests/phase-09/test_lint_contributor_check.sh	19	wiki/log.md <<'LOG'	1-cloud	wiki-cloud/
tests/phase-09/test_lint_contributor_check.sh	29	wiki/index.md so lin	1-cloud	wiki-cloud/
tests/phase-09/test_lint_contributor_check.sh	30	wiki/index.md	1-cloud	wiki-cloud/
tests/phase-09/test_lint_contributor_check.sh	34	wiki/ > /tmp/ctrb.js	1-cloud	wiki-cloud/
tests/phase-09/test_lint_contributor_check.sh	46	wiki/ > /tmp/ctrb2.j	1-cloud	wiki-cloud/
tests/phase-09/test_lint_contributor_check.sh	65	wiki/decisions	1-cloud	wiki-cloud/
tests/phase-09/test_lint_contributor_check.sh	66	wiki/index.md	1-cloud	wiki-cloud/
tests/phase-09/test_lint_contributor_check.sh	67	wiki/log.md <<'LOG'	1-cloud	wiki-cloud/
tests/phase-09/test_lint_contributor_check.sh	78	wiki/ > /tmp/ctrb3.j	1-cloud	wiki-cloud/
tests/phase-09/test_lint_count_skips.sh	12	wiki/concepts	1-cloud	wiki-cloud/
tests/phase-09/test_lint_count_skips.sh	51	wiki/concepts/other.	1-cloud	wiki-cloud/
tests/phase-09/test_lint_count_skips.sh	57	wiki/ > /tmp/skips.j	1-cloud	wiki-cloud/
tests/phase-09/test_lint_format_json.sh	16	"wiki/index.md"" <<'ID"	1-cloud	wiki-cloud/
tests/phase-09/test_lint_format_json.sh	22	"wiki/log.md"" <<'LOG'"	1-cloud	wiki-cloud/
tests/phase-09/test_lint_format_json.sh	29	wiki/maintenance/lin	1-cloud	wiki-cloud/
tests/phase-09/test_lint_format_json.sh	29	wiki/maintenance/lin	1-cloud	wiki-cloud/
tests/phase-09/test_lint_format_json.sh	31	"wiki/ 2>/dev/null)"""	1-cloud	wiki-cloud/
tests/phase-09/test_lint_format_json.sh	60	wiki/maintenance/lin	1-cloud	wiki-cloud/
tests/phase-09/test_lint_skip_category.sh	12	"wiki/concepts"""	1-cloud	wiki-cloud/
tests/phase-09/test_lint_skip_category.sh	13	"wiki/index.md"" <<'ID"	1-cloud	wiki-cloud/
tests/phase-09/test_lint_skip_category.sh	16	"wiki/log.md"" <<'LOG'"	1-cloud	wiki-cloud/
tests/phase-09/test_lint_skip_category.sh	19	wiki/concepts/broken	1-cloud	wiki-cloud/
tests/phase-09/test_lint_skip_category.sh	33	wiki/ > /tmp/skip.js	1-cloud	wiki-cloud/
tests/phase-09/test_lint_skip_category.sh	48	wiki/ > /tmp/ci.json	1-cloud	wiki-cloud/
tests/phase-09/test_lint_skip_category.sh	62	wiki/ > /tmp/cat.jso	1-cloud	wiki-cloud/
tests/phase-09/test_lint_skip_category.sh	75	wiki/ > /tmp/selfski	1-cloud	wiki-cloud/
tests/phase-09/test_lint_strict_dr_match.sh	24	wiki/concepts/attent	1-cloud	wiki-cloud/
tests/phase-09/test_lint_strict_dr_match.sh	34	wiki/concepts/attent	1-cloud	wiki-cloud/
tests/phase-09/test_lint_strict_dr_match.sh	43	wiki/concepts/attent	4-git-history	skip
tests/phase-09/test_lint_strict_dr_match.sh	47	wiki/concepts/attent	1-cloud	wiki-cloud/
tests/phase-09/test_lint_strict_dr_match.sh	51	wiki/ > /tmp/strict-	1-cloud	wiki-cloud/
tests/phase-09/test_lint_strict_dr_match.sh	61	wiki/decisions	1-cloud	wiki-cloud/
tests/phase-09/test_lint_strict_dr_match.sh	117	wiki/decisions/dr-20	1-cloud	wiki-cloud/
tests/phase-09/test_lint_strict_dr_match.sh	122	wiki/ >/dev/null 2>&	1-cloud	wiki-cloud/
tests/phase-09/test_lint_strict_dr_match.sh	148	wiki/ >/dev/null 2>&	1-cloud	wiki-cloud/
tests/phase-09/test_lint_strict_dr_match.sh	171	wiki/ > /tmp/fb-out	1-cloud	wiki-cloud/
tests/phase-09/test_lint_strict_escape_hatch.sh	17	wiki/concepts/attent	1-cloud	wiki-cloud/
tests/phase-09/test_lint_strict_escape_hatch.sh	26	wiki/concepts/attent	1-cloud	wiki-cloud/
tests/phase-09/test_lint_strict_escape_hatch.sh	30	wiki/ >/dev/null 2>&	1-cloud	wiki-cloud/
tests/phase-09/test_lint_strict_escape_hatch.sh	34	wiki/ > /tmp/eh.json	1-cloud	wiki-cloud/
tests/phase-09/test_lint_strict_escape_hatch.sh	40	wiki/concepts/attent	1-cloud	wiki-cloud/
tests/phase-09/test_lint_strict_escape_hatch.sh	50	wiki/ >/dev/null 2>&	1-cloud	wiki-cloud/
tests/phase-09/test_lint_strict_escape_hatch.sh	57	wiki/concepts/attent	1-cloud	wiki-cloud/
tests/phase-09/test_lint_strict_escape_hatch.sh	59	wiki/ >/dev/null 2>&	1-cloud	wiki-cloud/
tests/phase-09/test_lint_strict_new_page.sh	15	wiki/concepts/new-co	1-cloud	wiki-cloud/
tests/phase-09/test_lint_strict_new_page.sh	21	wiki/concepts/new-co	1-cloud	wiki-cloud/
tests/phase-09/test_lint_strict_new_page.sh	22	wiki/concepts/new-co	1-cloud	wiki-cloud/
tests/phase-09/test_lint_strict_new_page.sh	25	wiki/ > /tmp/sn-out	1-cloud	wiki-cloud/
tests/phase-09/test_lint_strict_new_page.sh	42	wiki/concepts/new-co	1-cloud	wiki-cloud/
tests/phase-09/test_lint_strict_new_page.sh	68	wiki/ >/dev/null 2>&	1-cloud	wiki-cloud/
tests/phase-09/test_lint_strict_new_page.sh	70	wiki/ 2>&1 >&2	1-cloud	wiki-cloud/
tests/phase-09/test_search_contributor.sh	2	wiki/log.md; accepts	1-cloud	wiki-cloud/
tests/phase-09/test_search_contributor.sh	13	"wiki/index.md"""	1-cloud	wiki-cloud/
tests/phase-09/test_search_contributor.sh	15	"wiki/log.md"" <<'LOG'"	1-cloud	wiki-cloud/
tests/phase-09.1/test_agents_section_16.sh	33	wiki/index\.md. firs	1-cloud	wiki-cloud/
tests/phase-09.1/test_agents_section_16.sh	35	wiki/index.md` first	1-cloud	wiki-cloud/
tests/phase-09.1/test_agents_section_16.sh	36	wiki/index.md first,	1-cloud	wiki-cloud/
tests/phase-09.1/test_decision_record.sh	2	wiki/decisions/dr-20	1-cloud	wiki-cloud/
tests/phase-09.1/test_decision_record.sh	9	wiki/decisions/dr-20	1-cloud	wiki-cloud/
tests/phase-09.1/test_decision_record.sh	75	wiki/decisions/dr-20	1-cloud	wiki-cloud/
tests/phase-09.1/test_wiki_index_decisions.sh	2	wiki/index.md contai	1-cloud	wiki-cloud/
tests/phase-09.1/test_wiki_index_decisions.sh	3	wiki/index.md curren	1-cloud	wiki-cloud/
tests/phase-09.1/test_wiki_index_decisions.sh	9	"wiki/index.md"""	1-cloud	wiki-cloud/
tests/phase-09.1/test_wiki_index_decisions.sh	13	wiki/index.md missin	1-cloud	wiki-cloud/
